Group_Number,Sentences,GPT-5_Label,GPT-5_Label1,LLama-3_Label,LLama-3_Label1,Meriem,Simone,Simone_notes,curation
62,"_Bon Voyage_. “In about forty-five seconds I found myself again in the waiting-room
with the compassionate secretary, who, full of desolation and sympathy,
made me sign some document. I believe I undertook amongst other things
not to disclose any trade secrets.",NO,NO,NO,NO,NO,NO,,NO
63,"Well, I am not going to. “I began to feel slightly uneasy. You know I am not used to such
ceremonies, and there was something ominous in the atmosphere.",YES,NO,YES,NO,NO,NO,,NO
64,"It was
just as though I had been let into some conspiracy—I don’t
know—something not quite right; and I was glad to get out. In the outer
room the two women knitted black wool feverishly. People were arriving,
and the younger one was walking back and forth introducing them.",YES,NO,NO,NO,NO,NO,,NO
65,"The
old one sat on her chair. Her flat cloth slippers were propped up on a
foot-warmer, and a cat reposed on her lap. She wore a starched white
affair on her head, had a wart on one cheek, and silver-rimmed
spectacles hung on the tip of her nose.",NO,NO,NO,NO,NO,NO,,NO
66,"She glanced at me above the
glasses. The swift and indifferent placidity of that look troubled me. Two youths with foolish and cheery countenances were being piloted
over, and she threw at them the same quick glance of unconcerned
wisdom.",YES,NO,NO,NO,NO,NO,"the look is weird, but I do not see many elements",NO
67,"She seemed to know all about them and about me, too. An eerie
feeling came over me. She seemed uncanny and fateful.",YES,NO,YES,NO,NO,YES,she's presented as rather supernatural,NO
68,"Often far away
there I thought of these two, guarding the door of Darkness, knitting
black wool as for a warm pall, one introducing, introducing
continuously to the unknown, the other scrutinizing the cheery and
foolish faces with unconcerned old eyes. _Ave!_ Old knitter of black
wool. _Morituri te salutant_.",YES,YES,YES,NO,NO,YES,,NO
69,"Not many of those she looked at ever saw
her again—not half, by a long way. “There was yet a visit to the doctor. ‘A simple formality,’ assured me
the secretary, with an air of taking an immense part in all my sorrows.",YES,NO,NO,NO,NO,NO,,NO
70,"Accordingly a young chap wearing his hat over the left eyebrow, some
clerk I suppose—there must have been clerks in the business, though the
house was as still as a house in a city of the dead—came from somewhere
up-stairs, and led me forth. He was shabby and careless, with inkstains
on the sleeves of his jacket, and his cravat was large and billowy,
under a chin shaped like the toe of an old boot. It was a little too
early for the doctor, so I proposed a drink, and thereupon he developed
a vein of joviality.",YES,NO,NO,NO,NO,NO,,NO
71,"As we sat over our vermouths he glorified the
Company’s business, and by and by I expressed casually my surprise at
him not going out there. He became very cool and collected all at once. ‘I am not such a fool as I look, quoth Plato to his disciples,’ he said
sententiously, emptied his glass with great resolution, and we rose.",NO,NO,NO,NO,NO,NO,,NO
72,"“The old doctor felt my pulse, evidently thinking of something else the
while. ‘Good, good for there,’ he mumbled, and then with a certain
eagerness asked me whether I would let him measure my head. Rather
surprised, I said Yes, when he produced a thing like calipers and got
the dimensions back and front and every way, taking notes carefully.",YES,NO,NO,YES,NO,NO,,NO
73,"He
was an unshaven little man in a threadbare coat like a gaberdine, with
his feet in slippers, and I thought him a harmless fool. ‘I always ask
leave, in the interests of science, to measure the crania of those
going out there,’ he said. ‘And when they come back, too?’ I asked.",YES,YES,NO,NO,NO,NO,harmless fool?,NO
74,"‘Oh, I never see them,’ he remarked; ‘and, moreover, the changes take
place inside, you know.’ He smiled, as if at some quiet joke. ‘So you
are going out there. Famous.",NO,NO,NO,NO,NO,NO,,NO
75,"Interesting, too.’ He gave me a searching
glance, and made another note. ‘Ever any madness in your family?’ he
asked, in a matter-of-fact tone. I felt very annoyed.",YES,NO,NO,NO,NO,NO,,NO
76,"‘Is that question
in the interests of science, too?’ ‘It would be,’ he said, without
taking notice of my irritation, ‘interesting for science to watch the
mental changes of individuals, on the spot, but...’ ‘Are you an
alienist?’ I interrupted. ‘Every doctor should be—a little,’ answered
that original, imperturbably. ‘I have a little theory which you
messieurs who go out there must help me to prove.",YES,NO,NO,NO,NO,NO,,NO
77,"This is my share in
the advantages my country shall reap from the possession of such a
magnificent dependency. The mere wealth I leave to others. Pardon my
questions, but you are the first Englishman coming under my
observation...’ I hastened to assure him I was not in the least
typical.",YES,YES,YES,YES,NO,YES,dependecy == colonized country?,NO
78,"‘If I were,’ said I, ‘I wouldn’t be talking like this with
you.’ ‘What you say is rather profound, and probably erroneous,’ he
said, with a laugh. ‘Avoid irritation more than exposure to the sun. _Adieu_.",NO,NO,NO,NO,NO,NO,,NO
79,"How do you English say, eh? Good-bye. Ah!",YES,YES,YES,YES,YES,NO,I cannot see much in these two sentences…,NO
80,Good-bye. _Adieu_. In the tropics one must before everything keep calm.’...,YES,YES,YES,YES,NO,NO,,NO
81,"He lifted a
warning forefinger.... ‘_Du calme, du calme_.’

“One thing more remained to do—say good-bye to my excellent aunt. I
found her triumphant.",NO,NO,NO,YES,NO,NO,,NO
82,"I had a cup of tea—the last decent cup of tea for
many days—and in a room that most soothingly looked just as you would
expect a lady’s drawing-room to look, we had a long quiet chat by the
fireside. In the course of these confidences it became quite plain to
me I had been represented to the wife of the high dignitary, and
goodness knows to how many more people besides, as an exceptional and
gifted creature—a piece of good fortune for the Company—a man you don’t
get hold of every day. Good heavens!",NO,NO,NO,NO,NO,NO,,NO
83,"and I was going to take charge of
a two-penny-half-penny river-steamboat with a penny whistle attached! It appeared, however, I was also one of the Workers, with a capital—you
know. Something like an emissary of light, something like a lower sort
of apostle.",YES,YES,YES,NO,NO,YES,emissary of light (but it's ironic),NO
84,"There had been a lot of such rot let loose in print and
talk just about that time, and the excellent woman, living right in the
rush of all that humbug, got carried off her feet. She talked about
‘weaning those ignorant millions from their horrid ways,’ till, upon my
word, she made me quite uncomfortable. I ventured to hint that the
Company was run for profit.",YES,YES,YES,YES,NO,YES,those ignorant millions!,YES
85,"“‘You forget, dear Charlie, that the labourer is worthy of his hire,’
she said, brightly. It’s queer how out of touch with truth women are. They live in a world of their own, and there has never been anything
like it, and never can be.",YES,YES,YES,YES,YES,YES,this is sexist!,YES
86,"It is too beautiful altogether, and if they
were to set it up it would go to pieces before the first sunset. Some
confounded fact we men have been living contentedly with ever since the
day of creation would start up and knock the whole thing over. “After this I got embraced, told to wear flannel, be sure to write
often, and so on—and I left.",NO,YES,NO,NO,NO,NO,,NO
87,"In the street—I don’t know why—a queer
feeling came to me that I was an imposter. Odd thing that I, who used
to clear out for any part of the world at twenty-four hours’ notice,
with less thought than most men give to the crossing of a street, had a
moment—I won’t say of hesitation, but of startled pause, before this
commonplace affair. The best way I can explain it to you is by saying
that, for a second or two, I felt as though, instead of going to the
centre of a continent, I were about to set off for the centre of the
earth.",YES,NO,NO,NO,YES,NO,"very imaginative, but racism is just implied. Focus on the imposter!",YES
88,"“I left in a French steamer, and she called in every blamed port they
have out there, for, as far as I could see, the sole purpose of landing
soldiers and custom-house officers. I watched the coast. Watching a
coast as it slips by the ship is like thinking about an enigma.",YES,YES,NO,NO,NO,NO,"just a doubt on the ""blamed ports""",NO
89,"There
it is before you—smiling, frowning, inviting, grand, mean, insipid, or
savage, and always mute with an air of whispering, ‘Come and find out.’
This one was almost featureless, as if still in the making, with an
aspect of monotonous grimness. The edge of a colossal jungle, so
dark-green as to be almost black, fringed with white surf, ran
straight, like a ruled line, far, far away along a blue sea whose
glitter was blurred by a creeping mist. The sun was fierce, the land
seemed to glisten and drip with steam.",YES,YES,YES,YES,YES,NO,"it would be for humans, but it's talking about landscape...",YES
90,"Here and there greyish-whitish
specks showed up clustered inside the white surf, with a flag flying
above them perhaps. Settlements some centuries old, and still no bigger
than pinheads on the untouched expanse of their background. We pounded
along, stopped, landed soldiers; went on, landed custom-house clerks to
levy toll in what looked like a God-forsaken wilderness, with a tin
shed and a flag-pole lost in it; landed more soldiers—to take care of
the custom-house clerks, presumably.",YES,YES,YES,YES,NO,YES,"not a precise representation, but a lot going on…",NO
91,"Some, I heard, got drowned in the
surf; but whether they did or not, nobody seemed particularly to care. They were just flung out there, and on we went. Every day the coast
looked the same, as though we had not moved; but we passed various
places—trading places—with names like Gran’ Bassam, Little Popo; names
that seemed to belong to some sordid farce acted in front of a sinister
back-cloth.",YES,YES,YES,YES,NO,YES,not caring about people's death,YES
92,"The idleness of a passenger, my isolation amongst all these
men with whom I had no point of contact, the oily and languid sea, the
uniform sombreness of the coast, seemed to keep me away from the truth
of things, within the toil of a mournful and senseless delusion. The
voice of the surf heard now and then was a positive pleasure, like the
speech of a brother. It was something natural, that had its reason,
that had a meaning.",YES,NO,NO,NO,NO,NO,,NO
93,"Now and then a boat from the shore gave one a
momentary contact with reality. It was paddled by black fellows. You
could see from afar the white of their eyeballs glistening.",YES,YES,YES,YES,YES,YES,black people; but also the way they are portrayed,YES
94,"They
shouted, sang; their bodies streamed with perspiration; they had faces
like grotesque masks—these chaps; but they had bone, muscle, a wild
vitality, an intense energy of movement, that was as natural and true
as the surf along their coast. They wanted no excuse for being there. They were a great comfort to look at.",YES,YES,YES,YES,YES,YES,faces as masks,YES
95,"For a time I would feel I
belonged still to a world of straightforward facts; but the feeling
would not last long. Something would turn up to scare it away. Once, I
remember, we came upon a man-of-war anchored off the coast.",YES,NO,NO,NO,NO,NO,,NO
96,"There
wasn’t even a shed there, and she was shelling the bush. It appears the
French had one of their wars going on thereabouts. Her ensign dropped
limp like a rag; the muzzles of the long six-inch guns stuck out all
over the low hull; the greasy, slimy swell swung her up lazily and let
her down, swaying her thin masts.",YES,NO,NO,NO,NO,NO,,NO
97,"In the empty immensity of earth, sky,
and water, there she was, incomprehensible, firing into a continent. Pop, would go one of the six-inch guns; a small flame would dart and
vanish, a little white smoke would disappear, a tiny projectile would
give a feeble screech—and nothing happened. Nothing could happen.",YES,YES,YES,NO,NO,YES,This is hard! The image is very strong still: firing against a continent,NO
98,"There
was a touch of insanity in the proceeding, a sense of lugubrious
drollery in the sight; and it was not dissipated by somebody on board
assuring me earnestly there was a camp of natives—he called them
enemies!—hidden out of sight somewhere. “We gave her her letters (I heard the men in that lonely ship were
dying of fever at the rate of three a day) and went on. We called at
some more places with farcical names, where the merry dance of death
and trade goes on in a still and earthy atmosphere as of an overheated
catacomb; all along the formless coast bordered by dangerous surf, as
if Nature herself had tried to ward off intruders; in and out of
rivers, streams of death in life, whose banks were rotting into mud,
whose waters, thickened into slime, invaded the contorted mangroves,
that seemed to writhe at us in the extremity of an impotent despair.",YES,YES,YES,YES,YES,YES,,YES
99,"Nowhere did we stop long enough to get a particularized impression, but
the general sense of vague and oppressive wonder grew upon me. It was
like a weary pilgrimage amongst hints for nightmares. “It was upward of thirty days before I saw the mouth of the big river.",YES,NO,YES,NO,NO,NO,"Nightmarish, but still very generic",NO
100,"We anchored off the seat of the government. But my work would not begin
till some two hundred miles farther on. So as soon as I could I made a
start for a place thirty miles higher up.",NO,NO,NO,NO,NO,NO,,NO
101,"“I had my passage on a little sea-going steamer. Her captain was a
Swede, and knowing me for a seaman, invited me on the bridge. He was a
young man, lean, fair, and morose, with lanky hair and a shuffling
gait.",NO,NO,NO,YES,NO,NO,,NO
102,"As we left the miserable little wharf, he tossed his head
contemptuously at the shore. ‘Been living there?’ he asked. I said,
‘Yes.’ ‘Fine lot these government chaps—are they not?’ he went on,
speaking English with great precision and considerable bitterness.",YES,NO,YES,YES,NO,NO,,NO
103,"‘It
is funny what some people will do for a few francs a month. I wonder
what becomes of that kind when it goes upcountry?’ I said to him I
expected to see that soon. ‘So-o-o!’ he exclaimed.",YES,YES,YES,YES,NO,NO,,NO
104,"He shuffled athwart,
keeping one eye ahead vigilantly. ‘Don’t be too sure,’ he continued. ‘The other day I took up a man who hanged himself on the road.",NO,NO,NO,NO,NO,NO,,NO
105,"He was a
Swede, too.’ ‘Hanged himself! Why, in God’s name?’ I cried. He kept on
looking out watchfully.",YES,NO,NO,YES,NO,NO,,NO
106,"‘Who knows? The sun too much for him, or the
country perhaps.’

“At last we opened a reach. A rocky cliff appeared, mounds of turned-up
earth by the shore, houses on a hill, others with iron roofs, amongst a
waste of excavations, or hanging to the declivity.",YES,NO,NO,NO,NO,NO,,NO
107,"A continuous noise
of the rapids above hovered over this scene of inhabited devastation. A
lot of people, mostly black and naked, moved about like ants. A jetty
projected into the river.",YES,YES,YES,YES,YES,YES,black people compared to ants,YES
108,"A blinding sunlight drowned all this at times
in a sudden recrudescence of glare. ‘There’s your Company’s station,’
said the Swede, pointing to three wooden barrack-like structures on the
rocky slope. ‘I will send your things up.",NO,NO,NO,NO,NO,NO,,NO
109,"Four boxes did you say? So. Farewell.’

“I came upon a boiler wallowing in the grass, then found a path leading
up the hill.",NO,NO,NO,NO,NO,NO,,NO
110,"It turned aside for the boulders, and also for an
undersized railway-truck lying there on its back with its wheels in the
air. One was off. The thing looked as dead as the carcass of some
animal.",NO,NO,NO,NO,NO,NO,,NO
111,"I came upon more pieces of decaying machinery, a stack of rusty
rails. To the left a clump of trees made a shady spot, where dark
things seemed to stir feebly. I blinked, the path was steep.",YES,NO,NO,NO,NO,NO,,NO
112,"A horn
tooted to the right, and I saw the black people run. A heavy and dull
detonation shook the ground, a puff of smoke came out of the cliff, and
that was all. No change appeared on the face of the rock.",YES,YES,YES,YES,YES,YES,"uncertain: ""black people"" is there, but no strong connotation",YES
113,"They were
building a railway. The cliff was not in the way or anything; but this
objectless blasting was all the work going on. “A slight clinking behind me made me turn my head.",NO,NO,NO,NO,NO,NO,,NO
114,"Six black men
advanced in a file, toiling up the path. They walked erect and slow,
balancing small baskets full of earth on their heads, and the clink
kept time with their footsteps. Black rags were wound round their
loins, and the short ends behind waggled to and fro like tails.",YES,YES,YES,YES,YES,YES,"see in particular the ""tails"" at the end -> compared to animals",YES
115,"I could
see every rib, the joints of their limbs were like knots in a rope;
each had an iron collar on his neck, and all were connected together
with a chain whose bights swung between them, rhythmically clinking. Another report from the cliff made me think suddenly of that ship of
war I had seen firing into a continent. It was the same kind of ominous
voice; but these men could by no stretch of imagination be called
enemies.",YES,YES,YES,YES,YES,YES,,YES
116,"They were called criminals, and the outraged law, like the
bursting shells, had come to them, an insoluble mystery from the sea. All their meagre breasts panted together, the violently dilated
nostrils quivered, the eyes stared stonily uphill. They passed me
within six inches, without a glance, with that complete, deathlike
indifference of unhappy savages.",YES,YES,YES,YES,YES,YES,very strong,YES
117,"Behind this raw matter one of the
reclaimed, the product of the new forces at work, strolled
despondently, carrying a rifle by its middle. He had a uniform jacket
with one button off, and seeing a white man on the path, hoisted his
weapon to his shoulder with alacrity. This was simple prudence, white
men being so much alike at a distance that he could not tell who I
might be.",YES,YES,YES,YES,NO,YES,interesting! Racism against white men?,YES
118,"He was speedily reassured, and with a large, white, rascally
grin, and a glance at his charge, seemed to take me into partnership in
his exalted trust. After all, I also was a part of the great cause of
these high and just proceedings. “Instead of going up, I turned and descended to the left.",YES,NO,NO,NO,NO,NO,,NO
119,"My idea was
to let that chain-gang get out of sight before I climbed the hill. You
know I am not particularly tender; I’ve had to strike and to fend off. I’ve had to resist and to attack sometimes—that’s only one way of
resisting—without counting the exact cost, according to the demands of
such sort of life as I had blundered into.",YES,NO,NO,NO,NO,NO,Uncertain: see ref to the chain-gang,NO
120,"I’ve seen the devil of
violence, and the devil of greed, and the devil of hot desire; but, by
all the stars! these were strong, lusty, red-eyed devils, that swayed
and drove men—men, I tell you. But as I stood on this hillside, I
foresaw that in the blinding sunshine of that land I would become
acquainted with a flabby, pretending, weak-eyed devil of a rapacious
and pitiless folly.",YES,NO,YES,NO,NO,YES,"Very strong, even if the subject is left unclear",NO
121,"How insidious he could be, too, I was only to find
out several months later and a thousand miles farther. For a moment I
stood appalled, as though by a warning. Finally I descended the hill,
obliquely, towards the trees I had seen.",NO,NO,NO,NO,NO,NO,Hinting at Kurtz,NO
122,"“I avoided a vast artificial hole somebody had been digging on the
slope, the purpose of which I found it impossible to divine. It wasn’t
a quarry or a sandpit, anyhow. It was just a hole.",NO,NO,NO,NO,NO,NO,,NO
123,"It might have been
connected with the philanthropic desire of giving the criminals
something to do. I don’t know. Then I nearly fell into a very narrow
ravine, almost no more than a scar in the hillside.",YES,NO,NO,NO,NO,NO,the criminals? But it's secondary…,NO
124,"I discovered that a
lot of imported drainage-pipes for the settlement had been tumbled in
there. There wasn’t one that was not broken. It was a wanton smash-up.",NO,NO,NO,NO,NO,NO,,NO
125,"At last I got under the trees. My purpose was to stroll into the shade
for a moment; but no sooner within than it seemed to me I had stepped
into the gloomy circle of some Inferno. The rapids were near, and an
uninterrupted, uniform, headlong, rushing noise filled the mournful
stillness of the grove, where not a breath stirred, not a leaf moved,
with a mysterious sound—as though the tearing pace of the launched
earth had suddenly become audible.",YES,NO,NO,NO,NO,NO,,NO
126,"“Black shapes crouched, lay, sat between the trees leaning against the
trunks, clinging to the earth, half coming out, half effaced within the
dim light, in all the attitudes of pain, abandonment, and despair. Another mine on the cliff went off, followed by a slight shudder of the
soil under my feet. The work was going on.",YES,YES,YES,YES,YES,YES,,YES
127,"The work! And this was the
place where some of the helpers had withdrawn to die. “They were dying slowly—it was very clear.",YES,YES,YES,NO,NO,YES,"The ""helpers"" are African laborers",YES
128,"They were not enemies, they
were not criminals, they were nothing earthly now—nothing but black
shadows of disease and starvation, lying confusedly in the greenish
gloom. Brought from all the recesses of the coast in all the legality
of time contracts, lost in uncongenial surroundings, fed on unfamiliar
food, they sickened, became inefficient, and were then allowed to crawl
away and rest. These moribund shapes were free as air—and nearly as
thin.",YES,YES,YES,YES,YES,YES,,YES
129,"I began to distinguish the gleam of the eyes under the trees. Then, glancing down, I saw a face near my hand. The black bones
reclined at full length with one shoulder against the tree, and slowly
the eyelids rose and the sunken eyes looked up at me, enormous and
vacant, a kind of blind, white flicker in the depths of the orbs, which
died out slowly.",YES,YES,YES,YES,NO,YES,,YES
130,"The man seemed young—almost a boy—but you know with
them it’s hard to tell. I found nothing else to do but to offer him one
of my good Swede’s ship’s biscuits I had in my pocket. The fingers
closed slowly on it and held—there was no other movement and no other
glance.",YES,YES,YES,YES,YES,YES,,YES
131,"He had tied a bit of white worsted round his neck—Why? Where
did he get it? Was it a badge—an ornament—a charm—a propitiatory act?",YES,YES,YES,NO,NO,YES,,YES
132,"Was there any idea at all connected with it? It looked startling round
his black neck, this bit of white thread from beyond the seas. “Near the same tree two more bundles of acute angles sat with their
legs drawn up.",YES,YES,YES,YES,YES,YES,,YES
133,"One, with his chin propped on his knees, stared at
nothing, in an intolerable and appalling manner: his brother phantom
rested its forehead, as if overcome with a great weariness; and all
about others were scattered in every pose of contorted collapse, as in
some picture of a massacre or a pestilence. While I stood
horror-struck, one of these creatures rose to his hands and knees, and
went off on all-fours towards the river to drink. He lapped out of his
hand, then sat up in the sunlight, crossing his shins in front of him,
and after a time let his woolly head fall on his breastbone.",YES,YES,YES,YES,YES,YES,,YES
134,"“I didn’t want any more loitering in the shade, and I made haste
towards the station. When near the buildings I met a white man, in such
an unexpected elegance of get-up that in the first moment I took him
for a sort of vision. I saw a high starched collar, white cuffs, a
light alpaca jacket, snowy trousers, a clean necktie, and varnished
boots.",YES,YES,NO,YES,NO,NO,"Here the focus is on the white man (the colonizer), even if description is otherworldy…",NO
135,"No hat. Hair parted, brushed, oiled, under a green-lined parasol
held in a big white hand. He was amazing, and had a penholder behind
his ear.",NO,NO,YES,NO,NO,NO,,NO
136,"“I shook hands with this miracle, and I learned he was the Company’s
chief accountant, and that all the book-keeping was done at this
station. He had come out for a moment, he said, ‘to get a breath of
fresh air. The expression sounded wonderfully odd, with its suggestion
of sedentary desk-life.",YES,NO,NO,NO,NO,NO,,NO
137,"I wouldn’t have mentioned the fellow to you at
all, only it was from his lips that I first heard the name of the man
who is so indissolubly connected with the memories of that time. Moreover, I respected the fellow. Yes; I respected his collars, his
vast cuffs, his brushed hair.",YES,NO,NO,NO,NO,NO,,NO
138,"His appearance was certainly that of a
hairdresser’s dummy; but in the great demoralization of the land he
kept up his appearance. That’s backbone. His starched collars and
got-up shirt-fronts were achievements of character.",YES,NO,NO,NO,NO,NO,"An evaluation is implied, but perhaps too much",NO
139,"He had been out
nearly three years; and, later, I could not help asking him how he
managed to sport such linen. He had just the faintest blush, and said
modestly, ‘I’ve been teaching one of the native women about the
station. It was difficult.",YES,YES,YES,YES,NO,YES,,YES
140,"She had a distaste for the work.’ Thus this
man had verily accomplished something. And he was devoted to his books,
which were in apple-pie order. “Everything else in the station was in a muddle—heads, things,
buildings.",YES,NO,NO,NO,NO,NO,,NO
141,"Strings of dusty niggers with splay feet arrived and
departed; a stream of manufactured goods, rubbishy cottons, beads, and
brass-wire sent into the depths of darkness, and in return came a
precious trickle of ivory. “I had to wait in the station for ten days—an eternity. I lived in a
hut in the yard, but to be out of the chaos I would sometimes get into
the accountant’s office.",YES,YES,YES,YES,YES,YES,,YES
142,"It was built of horizontal planks, and so
badly put together that, as he bent over his high desk, he was barred
from neck to heels with narrow strips of sunlight. There was no need to
open the big shutter to see. It was hot there, too; big flies buzzed
fiendishly, and did not sting, but stabbed.",NO,NO,NO,NO,NO,NO,,NO
143,"I sat generally on the
floor, while, of faultless appearance (and even slightly scented),
perching on a high stool, he wrote, he wrote. Sometimes he stood up for
exercise. When a truckle-bed with a sick man (some invalid agent from
upcountry) was put in there, he exhibited a gentle annoyance.",YES,NO,NO,NO,NO,YES,Annoyance towards an invalid?,NO
144,"‘The
groans of this sick person,’ he said, ‘distract my attention. And
without that it is extremely difficult to guard against clerical errors
in this climate.’

“One day he remarked, without lifting his head, ‘In the interior you
will no doubt meet Mr. Kurtz.’ On my asking who Mr.",YES,NO,NO,YES,NO,YES,,YES
145,"Kurtz was, he said
he was a first-class agent; and seeing my disappointment at this
information, he added slowly, laying down his pen, ‘He is a very
remarkable person.’ Further questions elicited from him that Mr. Kurtz
was at present in charge of a trading-post, a very important one, in
the true ivory-country, at ‘the very bottom of there. Sends in as much
ivory as all the others put together...’ He began to write again.",YES,YES,NO,YES,NO,NO,"Perhaps something in ""the very bottom of there?""",NO
146,"The
sick man was too ill to groan. The flies buzzed in a great peace. “Suddenly there was a growing murmur of voices and a great tramping of
feet.",NO,NO,NO,NO,NO,NO,,NO
147,"A caravan had come in. A violent babble of uncouth sounds burst
out on the other side of the planks. All the carriers were speaking
together, and in the midst of the uproar the lamentable voice of the
chief agent was heard ‘giving it up’ tearfully for the twentieth time
that day....",YES,YES,YES,YES,YES,YES,,YES
148,"He rose slowly. ‘What a frightful row,’ he said. He
crossed the room gently to look at the sick man, and returning, said to
me, ‘He does not hear.’ ‘What!",NO,NO,NO,NO,NO,NO,,NO
149,"Dead?’ I asked, startled. ‘No, not yet,’
he answered, with great composure. Then, alluding with a toss of the
head to the tumult in the station-yard, ‘When one has got to make
correct entries, one comes to hate those savages—hate them to the
death.’ He remained thoughtful for a moment.",YES,YES,YES,YES,YES,YES,,YES
150,"‘When you see Mr. Kurtz’
he went on, ‘tell him from me that everything here’—he glanced at the
deck—‘is very satisfactory. I don’t like to write to him—with those
messengers of ours you never know who may get hold of your letter—at
that Central Station.’ He stared at me for a moment with his mild,
bulging eyes.",YES,NO,NO,NO,NO,NO,,NO
